date,kg,month~1,month~2,month~3,month~4,month~5,month~6,month~7,month~8,month~9,month~10,month~11,month~12,Product~MAP,Product~MOP,Product~UREIA,oc
2006-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
2006-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2006-08-01,11441300.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
2006-08-01,33081126.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
2006-08-01,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
2006-09-01,10322747.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2006-09-01,6309460.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
2006-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
2006-10-01,0.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
2006-10-01,36712549.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2006-10-01,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
2006-11-01,36946683.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2006-11-01,6092341.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
2006-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
2006-12-01,5613923.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
2006-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
2006-12-01,20846584.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
2007-01-01,3428637.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2007-01-01,8155584.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2007-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2007-02-01,4161981.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2007-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2007-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2007-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
2007-03-01,5259766.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
2007-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
2007-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
2007-04-01,6038408.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
2007-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2007-05-01,40013000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
2007-05-01,14220000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
2007-05-01,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
2007-06-01,30978750.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
2007-06-01,23073019.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2007-06-01,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
2007-07-01,31232331.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
2007-07-01,11381024.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
2007-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2007-08-01,0.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
2007-08-01,41864348.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
2007-08-01,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
2007-09-01,28845610.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2007-09-01,20483595.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
2007-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
2007-10-01,23116052.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
2007-10-01,21802567.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2007-10-01,13000000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
2007-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
2007-11-01,21195623.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
2007-11-01,20034938.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1
