CO_ANO,CO_MES,KG_LIQUIDO,VL_FOB,km
2012,6,26252802.0,18069995.0,2
2012,7,32551499.0,22591572.0,2
2012,7,10020000.0,6938325.0,2
2012,8,8649000.0,6071893.0,2
2012,10,15000000.0,10324447.0,2
2012,10,10500907.0,7315943.0,2
2012,10,8000000.0,5527730.0,2
2012,10,8247322.0,5546830.0,2
2012,11,4123661.0,2765124.0,2
2012,11,13087546.0,8838880.0,2
2012,11,25359536.0,17813958.0,2
2012,12,11000000.0,7629595.0,2
2012,12,10035094.0,6642878.0,2
2012,12,8250312.0,5115686.0,2
2013,5,12000958.0,6625868.0,2
2013,5,26211195.0,14351809.0,2
2013,5,5500000.0,3210133.0,2
2013,6,31863507.0,18234543.0,2
2013,7,14184221.0,8410660.0,2
2013,7,14831328.0,8415495.0,2
2013,7,5685122.0,3310064.0,2
2013,7,23269068.0,13144342.0,2
2013,8,15000589.0,8250766.0,2
2013,8,9904428.0,5568710.0,2
2013,9,8100070.0,4209938.0,2
2013,9,15754064.0,8256489.0,2
2013,10,5077310.0,2704432.0,2
2013,10,27622000.0,15719097.0,2
2013,10,15000000.0,7373412.0,2
2013,10,11311905.0,5660055.0,2
2013,10,12850110.0,7159471.0,2
2013,10,15000000.0,7857699.0,2
2013,10,17602231.0,9316790.0,2
2013,11,10356889.0,5562207.0,2
2013,11,16253882.0,8483367.0,2
2013,11,11930809.0,5936560.0,2
2013,12,13389336.0,6400550.0,2
2013,12,7900311.0,4058662.0,2
2014,1,11566045.0,5245282.0,2
2014,1,6000494.0,3006522.0,2
2014,2,20014418.0,7965642.0,2
2014,2,5000347.0,1960414.0,2
2014,3,15188616.0,6069086.0,2
2014,3,5047985.0,1981661.0,2
2014,3,8044000.0,3243665.0,2
2014,4,5063120.0,1961730.0,2
2014,4,5000250.0,1789974.0,2
2014,5,16637941.0,6306448.0,2
2014,5,7281183.0,3225564.0,2
2014,5,14208825.0,5672387.0,2
2014,5,10014463.0,4403095.0,2
2014,6,10000851.0,3953162.0,2
2014,6,25037669.0,10465835.0,2
2014,7,5097232.0,2146236.0,2
2014,7,26749391.0,10541614.0,2
2014,7,15069193.0,6384886.0,2
2014,7,5023749.0,2135050.0,2
2014,7,41224692.0,18020100.0,2
2014,8,10000804.0,4358398.0,2
2014,8,11009045.0,4971095.0,2
2014,8,34633322.0,15613518.0,2
2014,8,5000100.0,2112067.0,2
2014,9,23408935.0,10541610.0,2
2014,9,7501549.0,3371485.0,2
2014,10,23100000.0,10295544.0,2
2014,10,46032686.0,20775087.0,2
2014,11,25535600.0,11920081.0,2
2014,11,22067902.0,9679937.0,2
2014,11,14962701.0,7072447.0,2
2014,12,7737854.0,3529377.0,2
2015,1,7001783.0,2874274.0,2
2015,1,7293863.0,3452478.0,2
2015,2,10040631.0,4689614.0,2
2015,2,28828569.0,12837282.0,2
2015,3,10055112.0,4599272.0,2
2015,4,12598492.0,5786725.0,2
2015,4,5500000.0,2533309.0,2
2015,5,6976546.0,3149239.0,2
2015,5,16971752.0,7621706.0,2
2015,6,30635271.0,13069845.0,2
2015,6,10000000.0,3996300.0,2
2015,7,10358469.0,4587501.0,2
2015,7,7028511.0,3106140.0,2
2015,8,13480691.0,5923074.0,2
2015,8,41356100.0,17021230.0,2
2015,8,6601791.0,2870907.0,2
2015,9,13859043.0,5953867.0,2
2015,9,6201326.0,2648297.0,2
2015,9,49041772.0,20805219.0,2
2015,9,15004071.0,6287154.0,2
2015,10,7541423.0,3005103.0,2
2015,10,21346753.0,8486354.0,2
2015,10,11160655.0,4772461.0,2
2015,11,10019499.0,3735057.0,2
2015,11,13916858.0,5429978.0,2
2015,12,16195936.0,6035780.0,2
2016,2,14008146.0,4805702.0,2
2016,3,8976100.0,3863665.0,2
2016,4,12066534.0,3379689.0,2
2016,5,6000000.0,2043958.0,2
2016,5,34850100.0,9320786.0,2
2016,6,7150088.0,2154884.0,2
2016,7,47087088.0,13607669.0,2
2016,7,12982280.0,3594602.0,2
2016,7,12463980.0,3643740.0,2
2016,8,18888154.0,5087925.0,2
2016,8,16936720.0,5066576.0,2
2016,9,8502300.0,2102638.0,2
2016,9,16330822.0,4571734.0,2
2016,10,17601230.0,4729835.0,2
2017,1,18007607.0,5362365.0,2
2017,1,9902720.0,2860359.0,2
2017,1,24027104.0,6785374.0,2
2017,1,46576588.0,12601877.0,2
2017,1,8072776.0,2395668.0,2
2017,1,22444051.0,6554739.0,2
2017,2,5565879.0,1622745.0,2
2017,3,7984437.0,2190406.0,2
2017,3,10292791.0,2934150.0,2
2017,4,7043824.0,1928154.0,2
2017,4,17222586.0,5371746.0,2
2017,5,10106146.0,3172107.0,2
2017,5,14451181.0,4393651.0,2
2017,6,12002032.0,4010455.0,2
2017,6,7700000.0,2478327.0,2
2017,6,14319676.0,4549293.0,2
2017,7,10327362.0,3542358.0,2
2017,7,10112339.0,3074123.0,2
2017,7,13270860.0,4451855.0,2
2017,8,12500000.0,4212566.0,2
2017,8,33054082.0,10973728.0,2
2017,8,13896195.0,4141001.0,2
2017,8,14873666.0,5085175.0,2
2017,9,13407889.0,4764555.0,2
2017,9,23971554.0,7837054.0,2
2017,9,14950502.0,5193073.0,2
2017,10,30642397.0,10956142.0,2
2017,10,7550253.0,2645647.0,2
2017,11,7020010.0,2584713.0,2
2017,11,14082852.0,4904903.0,2
2017,12,10016393.0,3406115.0,2
2017,12,10028585.0,3410177.0,2
2017,12,16389763.0,5397261.0,2
2017,12,24616342.0,8612628.0,2
2018,1,8670923.0,3043381.0,2
2018,1,11723814.0,4119549.0,2
2018,1,6784040.0,2192099.0,2
2018,2,12014476.0,4192212.0,2
2018,4,7775479.0,2503926.0,2
2018,4,12600202.0,3892775.0,2
2018,7,7004997.0,2818512.0,2
2018,7,8472328.0,2969453.0,2
2018,7,5500000.0,2022307.0,2
2018,7,73550761.0,26555893.0,2
2018,8,10000000.0,3810941.0,2
2018,8,12125760.0,4463234.0,2
2018,8,13005565.0,5119807.0,2
2018,8,7718287.0,2679043.0,2
2018,8,20571262.0,7761804.0,2
2018,8,11151100.0,4001357.0,2
2018,9,29767000.0,10985985.0,2
2018,9,74368657.0,28512342.0,2
2018,9,13900000.0,5407090.0,2
2018,10,9944211.0,4051207.0,2
2018,10,6001390.0,2573563.0,2
2018,11,56404661.0,23508058.0,2
2018,11,6315390.0,2243614.0,2
2018,11,53453899.0,21138947.0,2
