CO_MES,nick,r2,md_c,md_r,accuracy,precision,recall,ad_col,indv
7,MAP_k,-0.0396829856733536,1,1,1.0,1.0,1.0,1,0
7,MOP_k,-157.90742106440086,1,1,1.0,1.0,1.0,1,0
7,SAM_k,-12.184284007599134,1,1,1.0,1.0,1.0,1,0
7,UREIA_k,-0.03967327683851418,1,1,1.0,1.0,1.0,1,0
