year,month,Product,UF,kg,US$_fob,km
2012,11,Soy Group,GO,18725983,11130243,0
2012,11,Soy Group,MT,171648476,112922499,0
2012,11,Soy Group,PA,28513604,17726337,0
2012,11,Soy Group,PR,17866549,10192493,0
2012,12,Soy Group,MT,87513443,60912533,0
2012,12,Soy Group,PR,41537973,25113055,0
2013,2,Soy Group,DF,15000000,7462950,0
2013,2,Soy Group,GO,56866408,30954295,0
2013,2,Soy Group,MS,96523276,53423168,0
2013,2,Soy Group,MT,398299089,217292724,0
2013,2,Soy Group,PR,282717160,146738186,0
2013,2,Soy Group,SP,18467993,10289929,0
2013,3,Soy Group,GO,418019460,224508978,0
2013,3,Soy Group,MA,35342087,19920653,0
2013,3,Soy Group,MG,45527023,26025812,0
2013,3,Soy Group,MS,281922109,152598875,0
2013,3,Soy Group,MT,1351344347,735799245,0
2013,3,Soy Group,PR,668899061,357856495,0
2013,3,Soy Group,RS,39163233,21353913,0
2013,3,Soy Group,SC,26161899,13784636,0
2013,3,Soy Group,SP,453945502,242665789,0
2013,3,Soy Group,TO,36610470,20628377,0
2013,4,Soy Group,BA,415927675,223401123,0
2013,4,Soy Group,DF,18500000,9631215,0
2013,4,Soy Group,GO,620231967,324132402,0
2013,4,Soy Group,MA,182737665,97052051,0
2013,4,Soy Group,MG,393860244,212683172,0
2013,4,Soy Group,MS,474857067,251879640,0
2013,4,Soy Group,MT,2423068157,1284828588,0
2013,4,Soy Group,PI,9196519,4862282,0
2013,4,Soy Group,PR,859820057,451431184,0
2013,4,Soy Group,RS,738806359,391144109,0
2013,4,Soy Group,SC,148625674,77552023,0
2013,4,Soy Group,SP,508233502,274822852,0
2013,4,Soy Group,TO,144853188,77463830,0
2013,5,Soy Group,BA,315716546,164938396,0
2013,5,Soy Group,GO,712125112,368333348,0
2013,5,Soy Group,MA,158591358,83597875,0
2013,5,Soy Group,MG,255856963,134101493,0
2013,5,Soy Group,MS,457806817,235400125,0
2013,5,Soy Group,MT,2165104378,1128461588,0
2013,5,Soy Group,PA,27029803,14479966,0
2013,5,Soy Group,PI,33901297,17652566,0
2013,5,Soy Group,PR,978145575,508682344,0
2013,5,Soy Group,RS,1744155306,919542656,0
2013,5,Soy Group,SC,318052795,164702507,0
2013,5,Soy Group,SP,425301205,223524342,0
2013,5,Soy Group,TO,150599790,80616758,0
2013,6,Soy Group,BA,261673218,139799611,0
2013,6,Soy Group,DF,24440000,12581427,0
2013,6,Soy Group,GO,466436004,246439246,0
2013,6,Soy Group,MA,199572794,104851093,0
2013,6,Soy Group,MG,238933970,128207747,0
2013,6,Soy Group,MS,296808857,152481820,0
2013,6,Soy Group,MT,1808407354,960295148,0
2013,6,Soy Group,PA,99163365,52649242,0
2013,6,Soy Group,PI,22344123,11809886,0
2013,6,Soy Group,PR,1015701036,532099635,0
2013,6,Soy Group,RO,15639236,7796159,0
2013,6,Soy Group,RS,1347161522,716441974,0
2013,6,Soy Group,SC,193834771,102634914,0
2013,6,Soy Group,SP,241364190,127577051,0
2013,6,Soy Group,TO,101897606,53360005,0
2013,7,Soy Group,BA,249890453,136471705,0
2013,7,Soy Group,DF,18088691,10213608,0
2013,7,Soy Group,GO,411245699,223011675,0
2013,7,Soy Group,MA,203516649,108971000,0
2013,7,Soy Group,MG,231387361,125025737,0
2013,7,Soy Group,MS,311415544,167171628,0
2013,7,Soy Group,MT,1671076294,902323961,0
2013,7,Soy Group,PA,54471762,29519468,0
2013,7,Soy Group,PR,997485742,535018329,0
2013,7,Soy Group,RO,127282483,66243909,0
2013,7,Soy Group,RS,811474106,443377926,0
2013,7,Soy Group,SC,96787547,53103669,0
2013,7,Soy Group,SP,186323891,103128948,0
2013,7,Soy Group,TO,100727799,54068503,0
2013,8,Soy Group,BA,245102965,132095383,0
2013,8,Soy Group,DF,11846421,6816265,0
2013,8,Soy Group,GO,260621839,142886293,0
2013,8,Soy Group,MA,173606847,94798400,0
2013,8,Soy Group,MG,136404649,74383194,0
2013,8,Soy Group,MS,173864541,90890685,0
2013,8,Soy Group,MT,902411316,486167414,0
2013,8,Soy Group,PA,58371469,31783383,0
2013,8,Soy Group,PI,27226232,14948556,0
2013,8,Soy Group,PR,1159406593,615433159,0
2013,8,Soy Group,RO,98888297,51960441,0
2013,8,Soy Group,RS,1742280844,939800581,0
2013,8,Soy Group,SC,62023427,33747412,0
2013,8,Soy Group,SP,225211811,125386242,0
2013,8,Soy Group,TO,97286700,52299771,0
