CO_MES,nick,md_c,md_r,accuracy,precision,recall,r2,ad_col,indv
7,UREIA_k,1,1,1.0,1.0,1.0,-0.03967327683851418,1,0
7,SAM_k,1,1,1.0,1.0,1.0,-12.184284007599134,1,0
7,MOP_k,1,1,1.0,1.0,1.0,-157.90742106440086,1,0
7,MAP_k,1,1,1.0,1.0,1.0,-0.0396829856733536,1,0
