CO_ANO,CO_MES,mm,date
2018,2,0.0,2018-02-01
2018,3,26.3,2018-03-01
2018,4,71.6,2018-04-01
2018,5,0.0,2018-05-01
2018,6,0.0,2018-06-01
2018,7,0.0,2018-07-01
2018,8,1.0,2018-08-01
2018,9,0.0,2018-09-01
2018,10,50.2,2018-10-01
2018,11,233.4,2018-11-01
2018,12,281.2,2018-12-01
2019,1,56.4,2019-01-01
2019,2,126.0,2019-02-01
2019,3,245.20000000000002,2019-03-01
2019,4,79.2,2019-04-01
2019,5,26.400000000000002,2019-05-01
2019,6,0.0,2019-06-01
2019,7,0.0,2019-07-01
2019,8,0.0,2019-08-01
2019,9,2.8,2019-09-01
2019,10,56.8,2019-10-01
2019,11,91.0,2019-11-01
2019,12,59.2,2019-12-01
2020,1,239.20000000000002,2020-01-01
2020,2,127.4,2020-02-01
2020,3,323.6,2020-03-01
2020,4,213.2,2020-04-01
2020,5,30.7,2020-05-01
2020,6,0.8,2020-06-01
2020,7,0.0,2020-07-01
2020,8,0.0,2020-08-01
2020,9,0.2,2020-09-01
2020,10,42.4,2020-10-01
2020,11,32.0,2020-11-01
2020,12,19.7,2020-12-01
2021,1,60.9,2021-01-01
2021,2,207.6,2021-02-01
2021,3,39.4,2021-03-01
2021,4,0.1,2021-04-01
2021,5,0.0,2021-05-01
2021,6,0.2,2021-06-01
2021,7,0.0,2021-07-01
2021,8,0.0,2021-08-01
2021,9,3.3,2021-09-01
2021,10,81.3,2021-10-01
2021,11,252.8,2021-11-01
2021,12,427.2,2021-12-01
2022,1,208.0,2022-01-01
2022,2,127.4,2022-02-01
2022,3,60.7,2022-03-01
2022,4,32.9,2022-04-01
2022,5,0.1,2022-05-01
2022,6,0.0,2022-06-01
2022,7,0.0,2022-07-01
2022,8,0.0,2022-08-01
2022,9,37.7,2022-09-01
2022,10,22.9,2022-10-01
2022,11,286.8,2022-11-01
2022,12,239.3,2022-12-01
2023,1,202.1,2023-01-01
2023,2,19.900000000000002,2023-02-01
2023,3,83.2,2023-03-01
2023,4,50.5,2023-04-01
2023,5,11.600000000000001,2023-05-01
2023,6,0.0,2023-06-01
2023,7,0.0,2023-07-01
2023,8,14.8,2023-08-01
2023,9,0.8,2023-09-01
2023,10,38.7,2023-10-01
2023,11,39.8,2023-11-01
2023,12,78.6,2023-12-01
