kton,mm,date,kton_pred_testemunha,kton_pred_tratamento,ad,train_size_anos,md,erro_tratamento,erro_testemunha,CO_MES
59.803933,0.0,1422748800000000000,52,45,7,10.0,1,14.803933,7.803933000000001,2
34.440623,0.0,1425168000000000000,52,43,7,10.0,1,8.559376999999998,17.559376999999998,3
35.916408,2.0,1427846400000000000,53,40,7,10.0,1,4.083592000000003,17.083592000000003,4
41.673232,27.6,1430438400000000000,65,64,7,10.0,1,22.326768,23.326768,5
89.739873,173.0,1433116800000000000,85,72,7,10.0,1,17.739873000000003,4.739873000000003,6
57.059997,180.4,1435708800000000000,85,73,7,10.0,1,15.940002999999997,27.940002999999997,7
92.576087,37.6,1438387200000000000,57,62,7,10.0,1,30.576087,35.576087,8
157.163804,105.8,1441065600000000000,73,69,7,10.0,1,88.163804,84.163804,9
72.352045,129.0,1443657600000000000,77,76,7,10.0,1,3.647954999999996,4.647954999999996,10
46.707875,231.6,1446336000000000000,100,76,7,10.0,1,29.292125,53.292125,11
66.3299,8.6,1448928000000000000,56,38,7,10.0,1,28.329899999999995,10.329899999999995,12
4.602215,0.4,1451606400000000000,58,35,7,10.0,1,30.397785,53.397785,1
50.710408,0.0,1454284800000000000,52,34,7,10.0,1,16.710408,1.289591999999999,2
20.632846,0.0,1456790400000000000,53,33,7,10.0,1,12.367154,32.367154,3
30.478304,0.0,1459468800000000000,52,31,7,10.0,1,0.5216959999999986,21.521696,4
85.488183,6.4,1462060800000000000,53,32,7,10.0,1,53.48818300000001,32.48818300000001,5
8.957044,118.6,1464739200000000000,75,74,7,10.0,1,65.042956,66.042956,6
150.603019,45.2,1467331200000000000,62,67,7,10.0,1,83.60301899999999,88.60301899999999,7
88.179554,454.4,1470009600000000000,136,73,7,10.0,1,15.179553999999996,47.820446000000004,8
50.435895,6.8,1472688000000000000,58,41,7,10.0,1,9.435895000000002,7.564104999999998,9
55.92875,32.5,1475280000000000000,62,70,7,10.0,1,14.07125,6.071249999999999,10
5.745931,0.0,1477958400000000000,57,32,7,10.0,1,26.254069,51.254069,11
13.7239,0.0,1480550400000000000,55,31,7,10.0,1,17.2761,41.2761,12
266.061486,0.2,1483228800000000000,56,31,7,10.0,1,235.061486,210.061486,1
38.62657,0.0,1485907200000000000,64,119,7,10.0,1,80.37343,25.37343,2
65.129998,0.1,1488326400000000000,60,101,7,10.0,1,35.870002,5.1299980000000005,3
43.723018,14.2,1491004800000000000,66,75,7,10.0,1,31.276981999999997,22.276981999999997,4
71.469075,58.6,1493596800000000000,70,89,7,10.0,1,17.530924999999996,1.4690750000000037,5
64.840313,171.0,1496275200000000000,89,81,7,10.0,1,16.159687000000005,24.159687000000005,6
91.074602,81.4,1498867200000000000,77,77,7,10.0,1,14.074601999999999,14.074601999999999,7
144.686253,43.0,1501545600000000000,68,78,7,10.0,1,66.686253,76.686253,8
126.700404,165.0,1504224000000000000,94,84,7,10.0,1,42.700404000000006,32.700404000000006,9
84.158902,112.0,1506816000000000000,84,84,7,10.0,1,0.15890199999999766,0.15890199999999766,10
58.553924,64.8,1509494400000000000,84,82,7,10.0,1,23.446075999999998,25.446075999999998,11
132.797201,8.6,1512086400000000000,71,58,7,10.0,1,74.797201,61.797201,12
66.944913,0.0,1514764800000000000,71,44,7,10.0,1,22.944913,4.055087,1
37.623692,0.0,1517443200000000000,71,46,7,10.0,1,8.376308000000002,33.376308,2
17.337034,0.0,1519862400000000000,70,39,7,10.0,1,21.662966,52.662966,3
44.306118,0.0,1522540800000000000,77,34,7,10.0,1,10.306117999999998,32.693882,4
15.345995,13.0,1525132800000000000,72,68,7,10.0,1,52.654005,56.654005,5
45.377515,165.9,1527811200000000000,101,77,7,10.0,1,31.622484999999998,55.622485,6
192.691686,199.0,1530403200000000000,98,76,7,10.0,1,116.691686,94.691686,7
147.884621,66.9,1533081600000000000,88,78,7,10.0,1,69.88462100000001,59.88462100000001,8
205.96478,0.0,1535760000000000000,80,46,7,10.0,1,159.96478,125.96477999999999,9
81.92708,26.3,1538352000000000000,83,113,7,10.0,1,31.072919999999996,1.0729199999999963,10
228.800082,71.6,1541030400000000000,94,109,7,10.0,1,119.800082,134.800082,11
110.582206,0.0,1543622400000000000,87,107,7,10.0,1,3.5822059999999993,23.582206,12
119.568986,0.0,1546300800000000000,85,111,7,10.0,1,8.568985999999995,34.568985999999995,1
41.055926,0.0,1548979200000000000,94,105,7,10.0,1,63.944074,52.944074,2
65.938487,1.0,1551398400000000000,87,102,7,10.0,1,36.061513000000005,21.061513000000005,3
49.818581,0.0,1554076800000000000,88,97,7,10.0,1,47.181419,38.181419,4
84.872013,50.2,1556668800000000000,97,96,7,10.0,1,11.127987000000005,12.127987000000005,5
78.958289,233.4,1559347200000000000,132,100,7,10.0,1,21.041711000000006,53.04171100000001,6
137.991654,281.2,1561939200000000000,136,101,7,10.0,1,36.99165400000001,1.9916540000000111,7
