CO_ANO,CO_MES,KG_LIQUIDO,date
2014,12,51164711.0,2014-12-01
2015,1,39251254.0,2015-01-01
2015,2,60115933.0,2015-02-01
2015,3,34760623.0,2015-03-01
2015,4,38514408.0,2015-04-01
2015,5,42850732.0,2015-05-01
2015,6,105849965.0,2015-06-01
2015,7,81208997.0,2015-07-01
2015,8,93529823.0,2015-08-01
2015,9,158101916.0,2015-09-01
2015,10,75870045.0,2015-10-01
2015,11,59819875.0,2015-11-01
2015,12,67202900.0,2015-12-01
2016,1,8857720.0,2016-01-01
2016,2,57577208.0,2016-02-01
2016,3,21490846.0,2016-03-01
2016,4,31185732.0,2016-04-01
2016,5,94265923.0,2016-05-01
2016,6,9749044.0,2016-06-01
2016,7,150603019.0,2016-07-01
2016,8,88459554.0,2016-08-01
2016,9,57567675.0,2016-09-01
2016,10,60482546.0,2016-10-01
2016,11,6155931.0,2016-11-01
2016,12,24547400.0,2016-12-01
2017,1,266916886.0,2017-01-01
2017,2,44607138.0,2017-02-01
2017,3,68906095.0,2017-03-01
2017,4,44155018.0,2017-04-01
2017,5,73893994.0,2017-05-01
2017,6,84446034.0,2017-06-01
2017,7,92601602.0,2017-07-01
2017,8,146543545.0,2017-08-01
2017,9,127580404.0,2017-09-01
2017,10,85182902.0,2017-10-01
2017,11,58999082.0,2017-11-01
2017,12,132965201.0,2017-12-01
2018,1,69516597.0,2018-01-01
2018,2,38481692.0,2018-02-01
2018,3,19463534.0,2018-03-01
2018,4,45567718.0,2018-04-01
2018,5,15921807.0,2018-05-01
2018,6,46512216.0,2018-06-01
2018,7,194239686.0,2018-07-01
2018,8,150472287.0,2018-08-01
2018,9,212611296.0,2018-09-01
2018,10,82736643.0,2018-10-01
2018,11,232611072.0,2018-11-01
2018,12,112592206.0,2018-12-01
2019,1,120634886.0,2019-01-01
2019,2,41266926.0,2019-02-01
2019,3,66364487.0,2019-03-01
2019,4,50079842.0,2019-04-01
2019,5,85710013.0,2019-05-01
2019,6,79810289.0,2019-06-01
2019,7,138330554.0,2019-07-01
2019,8,119502575.0,2019-08-01
2019,9,85689862.0,2019-09-01
2019,10,107792919.0,2019-10-01
2019,11,236027501.0,2019-11-01
2019,12,141780585.0,2019-12-01
2020,1,112708072.0,2020-01-01
2020,2,68351176.0,2020-02-01
2020,3,37734256.0,2020-03-01
2020,4,29622268.0,2020-04-01
2020,5,79773864.0,2020-05-01
2020,6,152801112.0,2020-06-01
2020,7,94590322.0,2020-07-01
2020,8,104629730.0,2020-08-01
2020,9,132721940.0,2020-09-01
2020,10,94779049.0,2020-10-01
2020,11,239489526.0,2020-11-01
2020,12,92100950.0,2020-12-01
2021,1,143294246.0,2021-01-01
2021,2,55566850.0,2021-02-01
2021,3,231733186.0,2021-03-01
2021,4,94515596.0,2021-04-01
2021,5,94621764.0,2021-05-01
2021,6,68136960.0,2021-06-01
2021,7,104462686.0,2021-07-01
2021,8,109591974.0,2021-08-01
2021,9,106930893.0,2021-09-01
2021,10,137600093.0,2021-10-01
2021,11,151612493.0,2021-11-01
2021,12,158994214.0,2021-12-01
2022,1,147210683.0,2022-01-01
2022,2,60014543.0,2022-02-01
2022,3,160114691.0,2022-03-01
2022,4,126806690.0,2022-04-01
2022,5,271035486.0,2022-05-01
2022,6,226755403.0,2022-06-01
2022,7,193909908.0,2022-07-01
2022,8,172589513.0,2022-08-01
2022,9,134830770.0,2022-09-01
2022,10,96049017.0,2022-10-01
2022,11,123014324.0,2022-11-01
2022,12,84410085.0,2022-12-01
2023,1,113265844.0,2023-01-01
2023,2,66287521.0,2023-02-01
2023,3,151200070.0,2023-03-01
2023,4,197944056.0,2023-04-01
2023,5,134741488.0,2023-05-01
2023,6,226029669.0,2023-06-01
2023,7,225381426.0,2023-07-01
2023,8,99266588.0,2023-08-01
2023,9,180350582.0,2023-09-01
2023,10,250497458.0,2023-10-01
2023,11,93363053.0,2023-11-01
2023,12,137522729.0,2023-12-01
2024,1,121651414.0,2024-01-01
