kton,mm_6,mm_7,mm_8,date,kton_pred_tratamento,kton_pred_testemunha,ad,train_size_anos,md,erro_tratamento,erro_testemunha,CO_MES
266.061486,0.0,0.2,0.0,1483228800000000000,29,59,8,10.0,1,237.061486,207.061486,1
38.62657,0.1,0.0,0.2,1485907200000000000,117,171,8,10.0,1,78.37343,132.37342999999998,2
65.129998,14.2,0.1,0.0,1488326400000000000,107,136,8,10.0,1,41.870002,70.870002,3
43.723018,58.6,14.2,0.1,1491004800000000000,76,97,8,10.0,1,32.276982,53.276982,4
71.469075,171.0,58.6,14.2,1493596800000000000,90,94,8,10.0,1,18.530924999999996,22.530924999999996,5
64.840313,81.4,171.0,58.6,1496275200000000000,81,84,8,10.0,1,16.159687000000005,19.159687000000005,6
91.074602,43.0,81.4,171.0,1498867200000000000,72,77,8,10.0,1,19.074602,14.074601999999999,7
144.686253,165.0,43.0,81.4,1501545600000000000,80,81,8,10.0,1,64.686253,63.686252999999994,8
126.700404,112.0,165.0,43.0,1504224000000000000,84,84,8,10.0,1,42.700404000000006,42.700404000000006,9
84.158902,64.8,112.0,165.0,1506816000000000000,80,88,8,10.0,1,4.158901999999998,3.8410980000000023,10
58.553924,8.6,64.8,112.0,1509494400000000000,79,84,8,10.0,1,20.446075999999998,25.446075999999998,11
132.797201,0.0,8.6,64.8,1512086400000000000,52,76,8,10.0,1,80.797201,56.797201,12
66.944913,0.0,0.0,8.6,1514764800000000000,44,82,8,10.0,1,22.944913,15.055087,1
37.623692,0.0,0.0,0.0,1517443200000000000,45,83,8,10.0,1,7.376308000000002,45.376308,2
17.337034,0.0,0.0,0.0,1519862400000000000,38,78,8,10.0,1,20.662966,60.662966,3
44.306118,13.0,0.0,0.0,1522540800000000000,42,75,8,10.0,1,2.306117999999998,30.693882000000002,4
15.345995,165.9,13.0,0.0,1525132800000000000,71,72,8,10.0,1,55.654005,56.654005,5
45.377515,199.0,165.9,13.0,1527811200000000000,76,72,8,10.0,1,30.622484999999998,26.622484999999998,6
192.691686,66.9,199.0,165.9,1530403200000000000,74,75,8,10.0,1,118.691686,117.691686,7
147.884621,0.0,66.9,199.0,1533081600000000000,70,87,8,10.0,1,77.88462100000001,60.88462100000001,8
205.96478,26.3,0.0,66.9,1535760000000000000,49,100,8,10.0,1,156.96478,105.96477999999999,9
81.92708,71.6,26.3,0.0,1538352000000000000,101,130,8,10.0,1,19.072919999999996,48.072919999999996,10
228.800082,0.0,71.6,26.3,1541030400000000000,103,115,8,10.0,1,125.800082,113.800082,11
110.582206,0.0,0.0,71.6,1543622400000000000,106,143,8,10.0,1,4.582205999999999,32.417794,12
119.568986,0.0,0.0,0.0,1546300800000000000,104,141,8,10.0,1,15.568985999999995,21.431014000000005,1
41.055926,1.0,0.0,0.0,1548979200000000000,91,136,8,10.0,1,49.944074,94.944074,2
65.938487,0.0,1.0,0.0,1551398400000000000,93,122,8,10.0,1,27.061513000000005,56.061513000000005,3
49.818581,50.2,0.0,1.0,1554076800000000000,85,113,8,10.0,1,35.181419,63.181419,4
84.872013,233.4,50.2,0.0,1556668800000000000,83,103,8,10.0,1,1.8720129999999955,18.127987000000005,5
78.958289,281.2,233.4,50.2,1559347200000000000,98,104,8,10.0,1,19.041711000000006,25.041711000000006,6
137.991654,56.4,281.2,233.4,1561939200000000000,98,106,8,10.0,1,39.99165400000001,31.99165400000001,7
119.097475,126.0,56.4,281.2,1564617600000000000,94,102,8,10.0,1,25.097475000000003,17.097475000000003,8
84.69715,245.2,126.0,56.4,1567296000000000000,96,105,8,10.0,1,11.302850000000007,20.302850000000007,9
104.374769,79.2,245.2,126.0,1569888000000000000,96,98,8,10.0,1,8.374769,6.374769000000001,10
233.250861,26.4,79.2,245.2,1572566400000000000,97,100,8,10.0,1,136.250861,133.250861,11
141.196585,0.0,26.4,79.2,1575158400000000000,100,121,8,10.0,1,41.196585,20.196585,12
111.506872,0.0,0.0,26.4,1577836800000000000,93,124,8,10.0,1,18.506872,12.493127999999999,1
67.158087,0.0,0.0,0.0,1580515200000000000,73,119,8,10.0,1,5.841913000000005,51.841913000000005,2
37.529736,2.8,0.0,0.0,1583020800000000000,66,118,8,10.0,1,28.470264,80.470264,3
27.358268,56.8,2.8,0.0,1585699200000000000,62,111,8,10.0,1,34.641732000000005,83.641732,4
77.779664,91.0,56.8,2.8,1588291200000000000,71,105,8,10.0,1,6.779663999999997,27.220336000000003,5
149.660512,59.2,91.0,56.8,1590969600000000000,98,102,8,10.0,1,51.66051200000001,47.66051200000001,6
92.307522,239.2,59.2,91.0,1593561600000000000,101,109,8,10.0,1,8.692477999999994,16.692477999999994,7
104.22173,127.4,239.2,59.2,1596240000000000000,101,105,8,10.0,1,3.2217299999999938,0.7782700000000062,8
128.773967,323.6,127.4,239.2,1598918400000000000,101,102,8,10.0,1,27.773967,26.773967,9
93.054049,213.2,323.6,127.4,1601510400000000000,103,104,8,10.0,1,9.945950999999994,10.945950999999994,10
236.502326,30.7,213.2,323.6,1604188800000000000,102,104,8,10.0,1,134.502326,132.502326,11
91.33475,0.8,30.7,213.2,1606780800000000000,105,115,8,10.0,1,13.66525,23.66525,12
142.006246,0.0,0.8,30.7,1609459200000000000,87,117,8,10.0,1,55.006246000000004,25.006246000000004,1
55.08285,0.0,0.0,0.8,1612137600000000000,56,113,8,10.0,1,0.9171499999999995,57.91715,2
228.271186,0.2,0.0,0.0,1614556800000000000,53,107,8,10.0,1,175.271186,121.271186,3
92.473316,42.4,0.2,0.0,1617235200000000000,72,121,8,10.0,1,20.473315999999997,28.526684000000003,4
92.775764,32.0,42.4,0.2,1619827200000000000,84,120,8,10.0,1,8.775763999999995,27.224236000000005,5
67.29326,19.7,32.0,42.4,1622505600000000000,109,117,8,10.0,1,41.706739999999996,49.706739999999996,6
101.390086,60.9,19.7,32.0,1625097600000000000,106,113,8,10.0,1,4.609914000000003,11.609914000000003,7
102.768174,207.6,60.9,19.7,1627776000000000000,86,113,8,10.0,1,16.768174000000002,10.231825999999998,8
104.251125,39.4,207.6,60.9,1630454400000000000,107,111,8,10.0,1,2.748874999999998,6.748874999999998,9
134.514093,0.1,39.4,207.6,1633046400000000000,107,109,8,10.0,1,27.514093000000003,25.514093000000003,10
150.597533,0.0,0.1,39.4,1635724800000000000,101,114,8,10.0,1,49.597533,36.597533,11
157.758214,0.2,0.0,0.1,1638316800000000000,66,111,8,10.0,1,91.75821400000001,46.75821400000001,12
145.246683,0.0,0.2,0.0,1640995200000000000,77,114,8,10.0,1,68.24668299999999,31.24668299999999,1
59.604043,0.0,0.0,0.2,1643673600000000000,86,115,8,10.0,1,26.395957000000003,55.395957,2
156.259691,3.3,0.0,0.0,1646092800000000000,83,111,8,10.0,1,73.259691,45.259691000000004,3
125.55269,81.3,3.3,0.0,1648771200000000000,92,116,8,10.0,1,33.55269,9.552689999999998,4
269.679086,252.8,81.3,3.3,1651363200000000000,94,115,8,10.0,1,175.67908599999998,154.67908599999998,5
226.338403,427.2,252.8,81.3,1654041600000000000,126,127,8,10.0,1,100.338403,99.338403,6
192.826908,208.0,427.2,252.8,1656633600000000000,133,135,8,10.0,1,59.826908,57.826908,7
171.847513,127.4,208.0,427.2,1659312000000000000,137,137,8,10.0,1,34.84751299999999,34.84751299999999,8
127.736866,60.7,127.4,208.0,1661990400000000000,140,145,8,10.0,1,12.263133999999994,17.263133999999994,9
95.821017,32.9,60.7,127.4,1664582400000000000,132,141,8,10.0,1,36.178983,45.178983,10
122.342324,0.1,32.9,60.7,1667260800000000000,127,137,8,10.0,1,4.657675999999995,14.657675999999995,11
83.468485,0.0,0.1,32.9,1669852800000000000,128,133,8,10.0,1,44.531515,49.531515,12
113.265844,0.0,0.0,0.1,1672531200000000000,117,134,8,10.0,1,3.7341559999999987,20.734156,1
66.172521,0.0,0.0,0.0,1675209600000000000,112,130,8,10.0,1,45.827479,63.827479,2
151.10407,37.7,0.0,0.0,1677628800000000000,111,126,8,10.0,1,40.10407000000001,25.104070000000007,3
195.197856,22.9,37.7,0.0,1680307200000000000,119,127,8,10.0,1,76.197856,68.197856,4
129.817488,286.8,22.9,37.7,1682899200000000000,122,129,8,10.0,1,7.817487999999997,0.8174879999999973,5
220.981669,239.3,286.8,22.9,1685577600000000000,128,131,8,10.0,1,92.98166900000001,89.98166900000001,6
221.617426,202.1,239.3,286.8,1688169600000000000,130,132,8,10.0,1,91.617426,89.617426,7
96.753794,19.9,202.1,239.3,1690848000000000000,139,140,8,10.0,1,42.246206,43.246206,8
172.570477,83.2,19.9,202.1,1693526400000000000,129,136,8,10.0,1,43.57047700000001,36.57047700000001,9
240.914358,50.5,83.2,19.9,1696118400000000000,133,135,8,10.0,1,107.914358,105.914358,10
90.119779,11.6,50.5,83.2,1698796800000000000,143,145,8,10.0,1,52.880221000000006,54.880221000000006,11
128.49669,0.0,11.6,50.5,1701388800000000000,134,139,8,10.0,1,5.503309999999999,10.503309999999999,12
