CO_ANO,CO_MES,KG_LIQUIDO,VL_FOB,km
2008,5,19781437.0,14541060.0,1
2008,5,11916365.0,9842389.0,1
2008,5,15811299.0,10744187.0,1
2008,6,10002175.0,8729991.0,1
2008,7,8369696.0,9366162.0,1
2008,7,12890930.0,11460122.0,1
2008,8,12156143.0,13300038.0,1
2008,8,7000000.0,7467241.0,1
2008,8,25276587.0,27840686.0,1
2008,9,23530899.0,29848480.0,1
2008,10,16338482.0,21971119.0,1
2008,10,19939216.0,27723973.0,1
2009,4,5043680.0,5555917.0,1
2009,6,5061545.0,5582513.0,1
2009,6,11000000.0,12254729.0,1
2009,6,16437885.0,18236786.0,1
2009,8,13002144.0,9906220.0,1
2009,8,13015684.0,13699423.0,1
2009,8,11975649.0,9640033.0,1
2009,9,17157061.0,14424016.0,1
2009,9,8120618.0,6197194.0,1
2009,10,7003360.0,4933671.0,1
2009,11,7000000.0,5520051.0,1
2009,11,8300000.0,5976114.0,1
2010,1,6005783.0,3927171.0,1
2010,1,6185160.0,3479419.0,1
2010,3,7107759.0,4654680.0,1
2010,4,4144936.0,2295812.0,1
2010,4,5032067.0,3087480.0,1
2010,5,10037140.0,5219684.0,1
2010,6,11001711.0,6114543.0,1
2010,6,19286937.0,10383099.0,1
2010,7,25807191.0,12894464.0,1
2010,8,10331246.0,4974934.0,1
2010,9,12723649.0,6521370.0,1
2010,9,16014056.0,7866967.0,1
2010,9,10001737.0,4783466.0,1
2010,10,28051636.0,13502291.0,1
2010,10,1500000.0,759094.0,1
2010,11,5507743.0,2942118.0,1
2010,11,15353571.0,7830942.0,1
2010,11,4401200.0,2196586.0,1
2010,11,10500000.0,5427811.0,1
2010,11,8050340.0,3958654.0,1
2010,12,3014036.0,1614338.0,1
2010,12,5031135.0,2483895.0,1
2011,1,10014452.0,5131473.0,1
2011,1,14989166.0,8275839.0,1
2011,1,5500000.0,2895489.0,1
2011,3,15331624.0,8851013.0,1
2011,4,16054961.0,9609346.0,1
2011,4,15295194.0,8933241.0,1
2011,4,8394179.0,5106395.0,1
2011,5,7500000.0,4472051.0,1
2011,5,48860927.0,31127199.0,1
2011,6,11512750.0,7080456.0,1
2011,6,23478889.0,16357830.0,1
2011,7,37431025.0,25823938.0,1
2011,7,6009638.0,4168704.0,1
2011,8,15378203.0,11073275.0,1
2011,8,16310873.0,12272516.0,1
2011,8,10000000.0,7323682.0,1
2011,8,4094919.0,3099622.0,1
2011,9,2016577.0,1367314.0,1
2011,9,33639139.0,25589040.0,1
2011,9,18738069.0,13909714.0,1
2011,10,9069512.0,6752219.0,1
2011,10,31047173.0,22027324.0,1
2011,12,8112690.0,6022434.0,1
2012,4,10121343.0,6641566.0,1
2012,4,23706328.0,15879413.0,1
2012,5,10120470.0,6909620.0,1
2012,5,11176638.0,7251880.0,1
2012,5,13019209.0,9377938.0,1
2012,6,15001263.0,10704513.0,1
2012,6,29778046.0,19933612.0,1
2012,6,36322930.0,24875702.0,1
2012,6,26252802.0,18069995.0,1
2012,7,32551499.0,22591572.0,1
2012,7,10020000.0,6938325.0,1
2012,8,8649000.0,6071893.0,1
2012,10,15000000.0,10324447.0,1
2012,10,10500907.0,7315943.0,1
2012,10,8000000.0,5527730.0,1
2012,10,8247322.0,5546830.0,1
2012,11,4123661.0,2765124.0,1
2012,11,13087546.0,8838880.0,1
2012,11,25359536.0,17813958.0,1
2012,12,11000000.0,7629595.0,1
2012,12,10035094.0,6642878.0,1
2012,12,8250312.0,5115686.0,1
2013,2,3000000.0,1835960.0,1
2013,4,3500280.0,1969571.0,1
2013,5,12000958.0,6625868.0,1
2013,5,26211195.0,14351809.0,1
2013,5,5500000.0,3210133.0,1
2013,6,31863507.0,18234543.0,1
2013,7,1648000.0,1004820.0,1
2013,7,14184221.0,8410660.0,1
2013,7,14831328.0,8415495.0,1
2013,7,5685122.0,3310064.0,1
2013,7,23269068.0,13144342.0,1
2013,8,15000589.0,8250766.0,1
2013,8,9904428.0,5568710.0,1
2013,8,3316443.0,1904327.0,1
2013,9,8100070.0,4209938.0,1
2013,9,15754064.0,8256489.0,1
2013,10,5077310.0,2704432.0,1
2013,10,27622000.0,15719097.0,1
2013,10,15000000.0,7373412.0,1
2013,10,11311905.0,5660055.0,1
2013,10,12850110.0,7159471.0,1
2013,10,15000000.0,7857699.0,1
2013,10,17602231.0,9316790.0,1
2013,11,10356889.0,5562207.0,1
2013,11,16253882.0,8483367.0,1
2013,11,11930809.0,5936560.0,1
2013,12,13389336.0,6400550.0,1
2013,12,7900311.0,4058662.0,1
2014,1,11566045.0,5245282.0,1
2014,1,6000494.0,3006522.0,1
2014,2,20014418.0,7965642.0,1
2014,2,5000347.0,1960414.0,1
2014,3,15188616.0,6069086.0,1
2014,3,5047985.0,1981661.0,1
2014,3,8044000.0,3243665.0,1
2014,4,5063120.0,1961730.0,1
2014,4,5000250.0,1789974.0,1
2014,5,16637941.0,6306448.0,1
2014,5,7281183.0,3225564.0,1
2014,5,14208825.0,5672387.0,1
2014,5,10014463.0,4403095.0,1
2014,6,10000851.0,3953162.0,1
2014,6,25037669.0,10465835.0,1
2014,7,5097232.0,2146236.0,1
2014,7,26749391.0,10541614.0,1
2014,7,15069193.0,6384886.0,1
2014,7,5023749.0,2135050.0,1
2014,7,41224692.0,18020100.0,1
2014,8,10000804.0,4358398.0,1
2014,8,11009045.0,4971095.0,1
2014,8,34633322.0,15613518.0,1
2014,8,5000100.0,2112067.0,1
2014,9,23408935.0,10541610.0,1
2014,9,7501549.0,3371485.0,1
2014,10,23100000.0,10295544.0,1
2014,10,46032686.0,20775087.0,1
2014,11,25535600.0,11920081.0,1
2014,11,22067902.0,9679937.0,1
2014,11,14962701.0,7072447.0,1
2014,12,7737854.0,3529377.0,1
2015,1,7001783.0,2874274.0,1
2015,1,7293863.0,3452478.0,1
2015,2,10040631.0,4689614.0,1
2015,2,3800072.0,1831116.0,1
2015,2,28828569.0,12837282.0,1
2015,3,10055112.0,4599272.0,1
2015,4,12598492.0,5786725.0,1
2015,4,5500000.0,2533309.0,1
2015,5,6976546.0,3149239.0,1
2015,5,16971752.0,7621706.0,1
2015,6,30635271.0,13069845.0,1
2015,6,10000000.0,3996300.0,1
2015,7,10358469.0,4587501.0,1
2015,7,7028511.0,3106140.0,1
2015,8,13480691.0,5923074.0,1
2015,8,41356100.0,17021230.0,1
2015,8,6601791.0,2870907.0,1
2015,9,2200000.0,866085.0,1
2015,9,13859043.0,5953867.0,1
2015,9,6201326.0,2648297.0,1
2015,9,49041772.0,20805219.0,1
2015,9,2500900.0,1016302.0,1
2015,9,15004071.0,6287154.0,1
2015,10,7541423.0,3005103.0,1
2015,10,21346753.0,8486354.0,1
2015,10,11160655.0,4772461.0,1
2015,11,10019499.0,3735057.0,1
2015,11,13916858.0,5429978.0,1
2015,12,4000000.0,1430094.0,1
2015,12,4033830.0,1511067.0,1
2015,12,16195936.0,6035780.0,1
2016,2,14008146.0,4805702.0,1
2016,3,8976100.0,3863665.0,1
2016,4,6000000.0,1723559.0,1
2016,4,12066534.0,3379689.0,1
2016,5,6000000.0,2043958.0,1
2016,5,4969244.0,1427747.0,1
2016,5,4964416.0,1430687.0,1
2016,5,34850100.0,9320786.0,1
2016,6,7150088.0,2154884.0,1
2016,7,47087088.0,13607669.0,1
2016,7,12982280.0,3594602.0,1
2016,7,12463980.0,3643740.0,1
2016,8,18888154.0,5087925.0,1
2016,8,16936720.0,5066576.0,1
2016,9,4769543.0,1262895.0,1
2016,9,8502300.0,2102638.0,1
2016,9,16330822.0,4571734.0,1
2016,10,6007727.0,1818872.0,1
2016,10,2004084.0,560945.0,1
2016,10,17601230.0,4729835.0,1
2016,12,5006440.0,1474047.0,1
2017,1,18007607.0,5362365.0,1
2017,1,9902720.0,2860359.0,1
2017,1,24027104.0,6785374.0,1
2017,1,46576588.0,12601877.0,1
2017,1,8072776.0,2395668.0,1
2017,1,22444051.0,6554739.0,1
2017,2,5565879.0,1622745.0,1
2017,2,2000689.0,626067.0,1
2017,2,5027082.0,1562032.0,1
2017,3,5035419.0,1545673.0,1
2017,3,7984437.0,2190406.0,1
2017,3,10292791.0,2934150.0,1
2017,4,7043824.0,1928154.0,1
2017,4,17222586.0,5371746.0,1
2017,5,10106146.0,3172107.0,1
2017,5,14451181.0,4393651.0,1
2017,6,12002032.0,4010455.0,1
2017,6,7700000.0,2478327.0,1
2017,6,14319676.0,4549293.0,1
2017,7,10327362.0,3542358.0,1
2017,7,10112339.0,3074123.0,1
2017,7,13270860.0,4451855.0,1
2017,8,12500000.0,4212566.0,1
2017,8,33054082.0,10973728.0,1
2017,8,13896195.0,4141001.0,1
2017,8,14873666.0,5085175.0,1
2017,9,13407889.0,4764555.0,1
2017,9,23971554.0,7837054.0,1
2017,9,14950502.0,5193073.0,1
2017,10,30642397.0,10956142.0,1
2017,10,4000000.0,1343064.0,1
2017,10,7550253.0,2645647.0,1
2017,11,7020010.0,2584713.0,1
2017,11,4038401.0,1230368.0,1
2017,11,3312439.0,1042761.0,1
2017,11,14082852.0,4904903.0,1
2017,12,10016393.0,3406115.0,1
2017,12,10028585.0,3410177.0,1
2017,12,16389763.0,5397261.0,1
2017,12,3886689.0,1355376.0,1
2017,12,24616342.0,8612628.0,1
2018,1,8670923.0,3043381.0,1
2018,1,5003121.0,1984261.0,1
2018,1,11723814.0,4119549.0,1
2018,1,6784040.0,2192099.0,1
2018,2,12014476.0,4192212.0,1
2018,3,5006521.0,1700603.0,1
2018,4,7775479.0,2503926.0,1
2018,4,5006321.0,1681812.0,1
2018,4,12600202.0,3892775.0,1
2018,5,2516090.0,880711.0,1
2018,5,2723361.0,756376.0,1
2018,6,3250000.0,1212686.0,1
2018,7,7004997.0,2818512.0,1
2018,7,8472328.0,2969453.0,1
2018,7,5500000.0,2022307.0,1
2018,7,73550761.0,26555893.0,1
2018,8,10000000.0,3810941.0,1
2018,8,12125760.0,4463234.0,1
2018,8,13005565.0,5119807.0,1
2018,8,7718287.0,2679043.0,1
2018,8,20571262.0,7761804.0,1
2018,8,11151100.0,4001357.0,1
2018,9,29767000.0,10985985.0,1
2018,9,74368657.0,28512342.0,1
2018,9,13900000.0,5407090.0,1
2018,10,5400000.0,1804263.0,1
2018,10,9944211.0,4051207.0,1
2018,10,6001390.0,2573563.0,1
2018,11,56404661.0,23508058.0,1
2018,11,6315390.0,2243614.0,1
2018,11,53453899.0,21138947.0,1
2018,12,9000000.0,3921090.0,1
2018,12,10770362.0,4483915.0,1
2018,12,16073687.0,6041498.0,1
2019,1,11000000.0,4769548.0,1
2019,1,26029141.0,10678675.0,1
2019,1,2021647.0,762159.0,1
2019,1,5000000.0,2229902.0,1
2019,1,7300292.0,2870021.0,1
2019,2,12277985.0,5036387.0,1
